This is a model of Nomoto's that has been converted to Woosley's format









  94 1.1050 0.0060   6.682E+07   1.913E+08   5.790E+09   4.621E-01   0.000E+00  -1.526E+08   1.512E+00   6.470E+25
  95 1.1110 0.0070   6.794E+07   1.761E+08   5.677E+09   4.622E-01   0.000E+00  -1.547E+08   1.516E+00   5.818E+25
  96 1.1180 0.0060   6.917E+07   1.606E+08   5.550E+09   4.623E-01   0.000E+00  -1.570E+08   1.520E+00   5.163E+25
  97 1.1240 0.0070   7.051E+07   1.458E+08   5.415E+09   4.623E-01   0.000E+00  -1.596E+08   1.525E+00   4.557E+25
  98 1.1310 0.0060   7.193E+07   1.319E+08   5.272E+09   4.624E-01   0.000E+00  -1.625E+08   1.530E+00   3.999E+25
  99 1.1370 0.0070   7.343E+07   1.188E+08   5.123E+09   4.625E-01   0.000E+00  -1.653E+08   1.535E+00   3.486E+25
 100 1.1440 0.0070   7.503E+07   1.064E+08   4.967E+09   4.626E-01   0.000E+00  -1.681E+08   1.540E+00   3.013E+25
 101 1.1510 0.0060   7.674E+07   9.195E+07   4.868E+09   4.705E-01   0.000E+00  -1.702E+08   1.598E+00   2.577E+25
 102 1.1570 0.0070   7.862E+07   8.095E+07   4.666E+09   4.706E-01   0.000E+00  -1.703E+08   1.596E+00   2.175E+25
 103 1.1640 0.0060   8.064E+07   7.003E+07   4.480E+09   4.707E-01   0.000E+00  -1.695E+08   1.608E+00   1.802E+25
 104 1.1700 0.0070   8.286E+07   3.437E+07   6.005E+09   4.871E-01   0.000E+00  -1.641E+08   3.746E+00   1.468E+25
 105 1.1770 0.0060   8.703E+07   2.873E+07   5.792E+09   4.888E-01   0.000E+00  -1.659E+08   3.775E+00   1.200E+25
 106 1.1830 0.0070   9.155E+07   2.393E+07   5.581E+09   4.900E-01   0.000E+00  -1.558E+08   3.818E+00   9.754E+24
 107 1.1900 0.0070   9.644E+07   1.931E+07   5.417E+09   4.907E-01   0.000E+00  -1.535E+08   4.018E+00   8.071E+24
 108 1.1970 0.0060   1.019E+08   1.636E+07   5.271E+09   4.980E-01   0.000E+00  -1.535E+08   3.767E+00   6.698E+24
 109 1.2030 0.0070   1.076E+08   1.409E+07   5.035E+09   4.982E-01   0.000E+00  -1.500E+08   3.799E+00   5.516E+24
 110 1.2100 0.0060   1.136E+08   1.212E+07   4.810E+09   4.983E-01   0.000E+00  -1.525E+08   3.848E+00   4.543E+24
 111 1.2160 0.0090   1.198E+08   1.053E+07   4.608E+09   4.983E-01   0.000E+00  -1.514E+08   3.929E+00   3.800E+24
 112 1.2250 0.0110   1.285E+08   8.554E+06   4.290E+09   4.983E-01   0.000E+00  -1.444E+08   3.968E+00   2.848E+24
 113 1.2360 0.0110   1.399E+08   7.089E+06   4.012E+09   4.984E-01   0.000E+00  -1.346E+08   3.938E+00   2.174E+24
 114 1.2470 0.0110   1.515E+08   5.927E+06   3.768E+09   4.984E-01   0.000E+00  -1.250E+08   3.908E+00   1.685E+24
 115 1.2580 0.0110   1.634E+08   4.986E+06   3.551E+09   4.984E-01   0.000E+00  -1.161E+08   3.886E+00   1.321E+24
 116 1.2690 0.0110   1.755E+08   4.223E+06   3.359E+09   4.984E-01   0.000E+00  -1.080E+08   3.873E+00   1.049E+24
 117 1.2800 0.0110   1.879E+08   3.595E+06   3.182E+09   4.984E-01   0.000E+00  -1.006E+08   3.861E+00   8.391E+23
 118 1.2910 0.0110   2.005E+08   3.079E+06   3.022E+09   4.984E-01   0.000E+00  -9.387E+07   3.852E+00   6.770E+23
 119 1.3020 0.0100   2.134E+08   2.649E+06   2.874E+09   4.984E-01   0.000E+00  -8.771E+07   3.843E+00   5.497E+23
 120 1.3120 0.0110   2.266E+08   2.290E+06   2.737E+09   4.984E-01   0.000E+00  -8.215E+07   3.835E+00   4.492E+23
 121 1.3230 0.0100   2.401E+08   1.985E+06   2.610E+09   4.984E-01   0.000E+00  -7.716E+07   3.828E+00   3.687E+23
 122 1.3330 0.0110   2.538E+08   1.728E+06   2.492E+09   4.984E-01   0.000E+00  -7.267E+07   3.821E+00   3.043E+23
 123 1.3440 0.0100   2.679E+08   1.508E+06   2.381E+09   4.984E-01   0.000E+00  -6.853E+07   3.814E+00   2.520E+23
 124 1.3540 0.0110   2.824E+08   1.321E+06   2.276E+09   4.984E-01   0.000E+00  -6.467E+07   3.807E+00   2.097E+23
 125 1.3650 0.0100   2.971E+08   1.159E+06   2.178E+09   4.984E-01   0.000E+00  -6.104E+07   3.800E+00   1.749E+23
 126 1.3750 0.0100   3.122E+08   1.020E+06   2.084E+09   4.984E-01   0.000E+00  -5.768E+07   3.793E+00   1.464E+23
 127 1.3850 0.0110   3.277E+08   8.997E+05   1.996E+09   4.984E-01   0.000E+00  -5.460E+07   3.785E+00   1.227E+23
 128 1.3960 0.0120   3.447E+08   7.797E+05   1.898E+09   4.984E-01   0.000E+00  -5.142E+07   3.776E+00   1.004E+23
 129 1.4080 0.0110   3.634E+08   6.765E+05   1.806E+09   4.984E-01   0.000E+00  -4.840E+07   3.767E+00   8.227E+22
 130 1.4190 0.0120   3.830E+08   5.854E+05   1.715E+09   4.984E-01   0.000E+00  -4.549E+07   3.760E+00   6.716E+22
 131 1.4310 0.0090   4.035E+08   5.060E+05   1.629E+09   4.984E-01   0.000E+00  -4.264E+07   3.755E+00   5.476E+22
 132 1.4400 0.0060   4.196E+08   4.702E+05   1.587E+09   4.984E-01   0.000E+00  -4.097E+07   3.754E+00   4.941E+22
 133 1.4460 0.0060   4.306E+08   4.366E+05   1.546E+09   4.984E-01   0.000E+00  -3.950E+07   3.752E+00   4.455E+22
 134 1.4520 0.0050   4.419E+08   4.052E+05   1.505E+09   4.984E-01   0.000E+00  -3.824E+07   3.751E+00   4.013E+22
 135 1.4570 0.0060   4.534E+08   3.760E+05   1.465E+09   4.984E-01   0.000E+00  -3.705E+07   3.750E+00   3.613E+22
 136 1.4630 0.0060   4.653E+08   3.482E+05   1.425E+09   4.984E-01   0.000E+00  -3.587E+07   3.749E+00   3.245E+22
 137 1.4690 0.0060   4.776E+08   3.224E+05   1.386E+09   4.984E-01   0.000E+00  -3.472E+07   3.748E+00   2.911E+22
 138 1.4750 0.0060   4.901E+08   2.974E+05   1.347E+09   4.988E-01   0.000E+00  -3.360E+07   3.779E+00   2.610E+22
 139 1.4810 0.0070   5.030E+08   2.750E+05   1.309E+09   4.988E-01   0.000E+00  -3.252E+07   3.778E+00   2.337E+22
 140 1.4880 0.0060   5.167E+08   2.526E+05   1.269E+09   4.988E-01   0.000E+00  -3.139E+07   3.777E+00   2.073E+22
 141 1.4940 0.0060   5.313E+08   2.274E+05   1.229E+09   4.991E-01   0.000E+00  -3.029E+07   3.856E+00   1.836E+22
 142 1.5000 0.0070   5.466E+08   1.667E+05   1.257E+09   4.991E-01   0.000E+00  -2.918E+07   5.066E+00   1.623E+22
 143 1.5070 0.0090   5.661E+08   1.531E+05   1.219E+09   4.991E-01   0.000E+00  -2.800E+07   5.063E+00   1.440E+22
 144 1.5160 0.0130   5.955E+08   1.293E+05   1.146E+09   4.991E-01   0.000E+00  -2.606E+07   5.057E+00   1.133E+22
 145 1.5290 0.0130   6.363E+08   1.098E+05   1.078E+09   4.991E-01   0.000E+00  -2.397E+07   5.050E+00   8.982E+21
 146 1.5420 0.0120   6.783E+08   9.358E+04   1.016E+09   4.991E-01   0.000E+00  -2.204E+07   5.043E+00   7.153E+21
 147 1.5540 0.0130   7.215E+08   8.002E+04   9.574E+08   4.991E-01   0.000E+00  -2.030E+07   5.037E+00   5.716E+21
 148 1.5670 0.0120   7.660E+08   6.858E+04   9.030E+08   4.991E-01   0.000E+00  -1.870E+07   5.030E+00   4.581E+21
 149 1.5790 0.0110   8.119E+08   5.883E+04   8.517E+08   4.991E-01   0.000E+00  -1.722E+07   5.024E+00   3.675E+21
 150 1.5900 0.0090   8.541E+08   5.235E+04   8.146E+08   4.991E-01   0.000E+00  -1.608E+07   5.021E+00   3.107E+21
 151 1.5990 0.0100   8.914E+08   4.657E+04   7.790E+08   4.991E-01   0.000E+00  -1.514E+07   5.017E+00   2.626E+21
 152 1.6090 0.0090   9.298E+08   4.142E+04   7.448E+08   4.991E-01   0.000E+00  -1.432E+07   5.015E+00   2.219E+21
 153 1.6180 0.0090   9.693E+08   3.680E+04   7.120E+08   4.991E-01   0.000E+00  -1.359E+07   5.014E+00   1.873E+21
 154 1.6270 0.0090   1.010E+09   3.269E+04   6.803E+08   4.991E-01   0.000E+00  -1.293E+07   5.012E+00   1.579E+21
 155 1.6360 0.0090   1.052E+09   2.899E+04   6.496E+08   4.991E-01   0.000E+00  -1.235E+07   5.010E+00   1.328E+21
 156 1.6450 0.0100   1.095E+09   2.566E+04   6.200E+08   4.991E-01   0.000E+00  -1.183E+07   5.011E+00   1.115E+21
 157 1.6550 0.0090   1.140E+09   2.268E+04   5.912E+08   4.991E-01   0.000E+00  -1.135E+07   5.010E+00   9.334E+20
 158 1.6640 0.0090   1.187E+09   2.000E+04   5.631E+08   4.991E-01   0.000E+00  -1.091E+07   5.009E+00   7.787E+20
 159 1.6730 0.0090   1.235E+09   1.758E+04   5.356E+08   4.991E-01   0.000E+00  -1.049E+07   5.009E+00   6.465E+20
 160 1.6820 0.0080   1.286E+09   1.541E+04   5.088E+08   4.991E-01   0.000E+00  -1.010E+07   5.008E+00   5.343E+20
